,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
55,0.47,0.495,7,-10.746,1,0.245,0.682,0.0,0.101,0.193,170.778,1kCVncgHcTEICcK3fG63jR,190588,4,Rod Wave,Come See Me
56,0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,7MSWxMumjz6lHj7oRApNbg,267893,4,Chris Stapleton,White Horse
57,0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,0J1YRLYhTG1MBosjidD7OI,247469,4,USHER,Good Good
58,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,73NzYbpaYvQ7JfpjztFESL,167535,4,HARDY,TRUCK BED
59,0.789,0.763,1,-6.169,1,0.199,0.123,2.22e-05,0.132,0.272,140.107,5JYPXqMwYc0zTODQdjMEZN,126857,4,Ice Spice,Deli
60,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,6uIIdjYTxxpWOyWuVXrKQO,191467,3,Calle 24,Que Onda
61,0.491,0.782,1,-6.148,1,0.0376,0.154,0.0,0.137,0.441,155.289,7df5ELYvqxkoLhNK391CRV,226493,4,Tim McGraw,Standing Room Only
62,0.595,0.41,0,-5.079,1,0.0257,0.776,4.27e-06,0.224,0.141,83.308,67aaFVnfvFWjxVQMd0jDb5,187271,4,Zach Bryan,Smaller Acts
63,0.566,0.845,8,-3.817,1,0.0265,0.00475,0.000822,0.148,0.698,103.97,0cv6mTbrqr8vxGC31NjKtM,187047,4,Morgan Wallen,Everything I Love
64,0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,1olWQ1LOUYs4VBwx5N8Lz9,225827,4,Tyler Childers,In Your Love
65,0.852,0.675,1,-6.271,1,0.197,0.0652,3.74e-05,0.36,0.83,99.012,5xP9lQYA8YQmQh6BOxcAnR,215467,4,The Weeknd,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)
66,0.739,0.536,1,-10.843,1,0.308,0.231,0.0,0.35,0.64,82.549,7icwQvajsokotDfM3tefW6,154120,4,Sexyy Red,SkeeYee
67,0.849,0.614,1,-7.323,1,0.317,0.0282,0.0,0.0603,0.472,111.363,6c6WmIHcHlhccEwSFBhzNa,185748,5,Latto,Put It On Da Floor Again (feat. Cardi B)
68,0.415,0.404,4,-9.331,1,0.0393,0.678,1.95e-05,0.28,0.425,81.202,3itgPtXSu4I9mr2QD6yrzP,216027,4,Zach Bryan,Holy Roller (feat. Sierra Ferrell)
